source,target,relationship
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Rossa_Di_S_Carlo,""id"":1007,""label"":Peach_variant,""properties"":{""name"":Rossa_Di_S_Carlo}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Bianca_Prof_Gambi,""id"":966,""label"":Peach_variant,""properties"":{""name"":Bianca_Prof_Gambi}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Bianca_Di_S_Tome,""id"":965,""label"":Peach_variant,""properties"":{""name"":Bianca_Di_S_Tome}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Maribelle,""id"":994,""label"":Peach_variant,""properties"":{""name"":Maribelle}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Ciccio_Petrino,""id"":975,""label"":Peach_variant,""properties"":{""name"":Ciccio_Petrino}}","{""value"":{}}"
"{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""caption"":Kappa_2,""id"":926,""label"":Peach_variant,""properties"":{""name"":Kappa_2}}","{""value"":{}}"
"{""caption"":Robin,""id"":1005,""label"":Peach_variant,""properties"":{""name"":Robin}}","{""caption"":Rubiette,""id"":1148,""label"":Peach_variant,""properties"":{""name"":Rubiette}}","{""value"":{}}"
"{""caption"":Robin,""id"":1005,""label"":Peach_variant,""properties"":{""name"":Robin}}","{""caption"":Rubiette,""id"":1148,""label"":Peach_variant,""properties"":{""name"":Rubiette}}","{""value"":{}}"
"{""caption"":Santa_Lucia,""id"":1010,""label"":Peach_variant,""properties"":{""name"":Santa_Lucia}}","{""caption"":Triestina,""id"":1018,""label"":Peach_variant,""properties"":{""name"":Triestina}}","{""value"":{}}"
"{""caption"":Santa_Lucia,""id"":1010,""label"":Peach_variant,""properties"":{""name"":Santa_Lucia}}","{""caption"":Mara,""id"":992,""label"":Peach_variant,""properties"":{""name"":Mara}}","{""value"":{}}"
"{""caption"":Snow_Queen,""id"":1014,""label"":Peach_variant,""properties"":{""name"":Snow_Queen}}","{""caption"":Silver_Rome,""id"":1012,""label"":Peach_variant,""properties"":{""name"":Silver_Rome}}","{""value"":{}}"
"{""caption"":Snow_Queen,""id"":1014,""label"":Peach_variant,""properties"":{""name"":Snow_Queen}}","{""caption"":September_Queen,""id"":1119,""label"":Peach_variant,""properties"":{""name"":September_Queen}}","{""value"":{}}"
"{""caption"":Snow_Queen,""id"":1014,""label"":Peach_variant,""properties"":{""name"":Snow_Queen}}","{""caption"":September_Queen,""id"":1119,""label"":Peach_variant,""properties"":{""name"":September_Queen}}","{""value"":{}}"
"{""caption"":Snow_Queen,""id"":1014,""label"":Peach_variant,""properties"":{""name"":Snow_Queen}}","{""caption"":Caldesi_2000,""id"":970,""label"":Peach_variant,""properties"":{""name"":Caldesi_2000}}","{""value"":{}}"
"{""caption"":Snow_Queen,""id"":1014,""label"":Peach_variant,""properties"":{""name"":Snow_Queen}}","{""caption"":August_Queen,""id"":1094,""label"":Peach_variant,""properties"":{""name"":August_Queen}}","{""value"":{}}"
"{""caption"":Snow_Queen,""id"":1014,""label"":Peach_variant,""properties"":{""name"":Snow_Queen}}","{""caption"":August_Queen,""id"":1094,""label"":Peach_variant,""properties"":{""name"":August_Queen}}","{""value"":{}}"
"{""caption"":Springtime,""id"":1015,""label"":Peach_variant,""properties"":{""name"":Springtime}}","{""caption"":Sweet_Ring,""id"":1126,""label"":Peach_variant,""properties"":{""name"":Sweet_Ring}}","{""value"":{}}"
"{""caption"":Springtime,""id"":1015,""label"":Peach_variant,""properties"":{""name"":Springtime}}","{""caption"":Wu_Yue_Xian,""id"":1220,""label"":Peach_variant,""properties"":{""name"":Wu_Yue_Xian}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Black_Campanin,""id"":914,""label"":Peach_variant,""properties"":{""name"":Black_Campanin}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Valeria,""id"":960,""label"":Peach_variant,""properties"":{""name"":Valeria}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Merril_Gem_Free,""id"":1149,""label"":Peach_variant,""properties"":{""name"":Merril_Gem_Free}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Linda,""id"":1085,""label"":Peach_variant,""properties"":{""name"":Linda}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Regina_Bianca,""id"":1004,""label"":Peach_variant,""properties"":{""name"":Regina_Bianca}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":S.Anna_Balducci,""id"":1008,""label"":Peach_variant,""properties"":{""name"":S.Anna_Balducci}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Com_Pact_Redhaven,""id"":962,""label"":Peach_variant,""properties"":{""name"":Com_Pact_Redhaven}}","{""value"":{}}"
"{""caption"":Tabalet,""id"":1017,""label"":Peach_variant,""properties"":{""name"":Tabalet}}","{""caption"":Santa_Lucia,""id"":1010,""label"":Peach_variant,""properties"":{""name"":Santa_Lucia}}","{""value"":{}}"
